id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,plataforma,duration_int,duration_type,score
as1,movie,the grand seduction,don mckellar,"brendan gleeson, taylor kitsch, gordon pinsent",canada,2021-03-30 00:00:00,2014,G,113 min,comedy,amazon,113,min,3.5491266375545854
as2,movie,take care good night,girish joshi,"mahesh manjrekar, abhay mahajan, sachin khedekar",india,2021-03-30 00:00:00,2018,13+,110 min,drama,amazon,110,min,3.55688622754491
as3,movie,secrets of deception,josh webber,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",united states,2021-03-30 00:00:00,2017,G,74 min,action,amazon,74,min,3.6041237113402063
as4,movie,pink: staying true,sonia anderson,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",united states,2021-03-30 00:00:00,2014,G,69 min,documentary,amazon,69,min,3.5470852017937218
as5,movie,monster maker,giles foster,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",united kingdom,2021-03-30 00:00:00,1989,G,45 min,drama,amazon,45,min,3.532157676348548
as6,movie,living with dinosaurs,paul weiland,"gregory chisholm, juliet stevenson, brian henson, michael maloney",united kingdom,2021-03-30 00:00:00,1989,G,52 min,fantasy,amazon,52,min,3.425889328063241
as7,movie,hired gun,fran strine,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",united states,2021-03-30 00:00:00,2017,G,98 min,documentary,amazon,98,min,3.535569105691057
as8,movie,grease live!,"thomas kail, alex rudzinski","julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",united states,2021-03-30 00:00:00,2016,G,131 min,comedy,amazon,131,min,3.635162601626016
as9,movie,global meltdown,daniel gilboy,"michael paré, leanne khol young, patrick j. maceachern",canada,2021-03-30 00:00:00,2017,G,87 min,action,amazon,87,min,3.5064794816414686
as10,movie,david's mother,robert allan ackerman,"kirstie alley, sam waterston, stockard channing",united states,2021-04-01 00:00:00,1994,G,92 min,drama,amazon,92,min,3.5356415478615077
as11,movie,forest fairies,justin g. dyck,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",canada,2021-04-04 00:00:00,2016,G,88 min,adventure,amazon,88,min,3.456953642384106
as12,movie,take care,liz tuccillo,"leslie bibb, kevin curtis, nadia dajani",united states,2021-04-10 00:00:00,2014,G,93 min,comedy,amazon,93,min,3.5793478260869565
as13,movie,the night eats the world,dominique rocher,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",france,2021-04-17 00:00:00,2018,G,94 min,horror,amazon,94,min,3.5415800415800414
as14,movie,resilencia,jep barcelona,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",spain,2021-04-24 00:00:00,2020,G,46 min,documentary,amazon,46,min,3.498102466793169
as15,movie,elon musk: the real life iron man,sonia anderson,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",united kingdom,2021-05-02 00:00:00,2018,G,74 min,documentary,amazon,74,min,3.4847494553376905
as16,movie,summer '03,becca gleason,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",united states,2021-06-03 00:00:00,2019,G,96 min,comedy,amazon,96,min,3.5885947046843176
as17,movie,zoombies,glenn miller,"marcus anderson, kaiwi lyman, andrew asper",Sin dato,Sin dato,2016,13+,87 min,horror,amazon,87,min,3.52465483234714
as20,movie,zoe,drake doremus,"ewan mcgregor, léa seydoux, theo james, miranda otto, rashida jones, christina aguilera, matthew gray gubler, anthony shim",Sin dato,Sin dato,2018,R,104 min,science fiction,amazon,104,min,3.602020202020202
as23,movie,zis boom bah,william nigh,"grace hayes, mary healy",Sin dato,Sin dato,1941,NR,62 min,arts,amazon,62,min,3.518774703557312
as25,movie,zandalee,sam pillsbury,"nicolas cage, judge reinhold, erika anderson, joe pantoliano, viveca lindfors, aaron neville, steve buscemi, ian abercrombie, marisa tomei, jo-el sonnier, newell alexander, blaise delacroix, eliott keener, richard greenberg, john cutler, thomas iain",Sin dato,Sin dato,1991,R,94 min,drama,amazon,94,min,3.475321888412017
as26,movie,zambezi: force of life,dr. rudolf lammers,Sin dato,Sin dato,Sin dato,2005,ALL,50 min,documentary,amazon,50,min,3.5677777777777777
as33,movie,young lovers,ida lupino,"sally forrest, keefe brasselle, hugh o'brian, eve miller, lawrence dobkin, rita lupino",Sin dato,Sin dato,1949,18+,86 min,drama,amazon,86,min,3.5090909090909093
as34,movie,young love (at the sun factory),Sin dato,Sin dato,Sin dato,Sin dato,2007,NR,36 min,music videos and concerts,amazon,36,min,3.578028747433265
as35,movie,young love (at bowery ballroom),Sin dato,Sin dato,Sin dato,Sin dato,2007,NR,37 min,music videos and concerts,amazon,37,min,3.515957446808511
as37,movie,you're not you,george c. wolfe,"hilary swank, emmy rossum, josh duhamel",Sin dato,Sin dato,2015,R,103 min,drama,amazon,103,min,3.5649202733485192
as38,movie,"you, me and him",daisy aitkens,"david tennant, lucy punch, faye marsay, gemma jones",Sin dato,Sin dato,2017,G,98 min,comedy,amazon,98,min,3.537473233404711
as39,movie,yoga with sound meditations,mark knight,ann-marie newland,Sin dato,Sin dato,2016,ALL,9 min,fitness,amazon,9,min,3.546777546777547
as40,movie,yoga to harness your chakra energy,mark knight,caroline shola arewa,Sin dato,Sin dato,2014,ALL,18 min,faith and spirituality,amazon,18,min,3.544513457556936
as41,movie,yoga to ease flight anxiety,mark knight,anne-marie newland,Sin dato,Sin dato,2016,ALL,14 min,fitness,amazon,14,min,3.450854700854701
as42,movie,yoga to break any habit,mark knight,dr daniel j nightingale,Sin dato,Sin dato,2014,ALL,20 min,special interest,amazon,20,min,3.474387527839644
as44,movie,yoga savasana relaxation,mark knight,anne-marie newland,Sin dato,Sin dato,2014,ALL,19 min,fitness,amazon,19,min,3.540289256198347
as45,movie,yoga for relaxation anywhere,mark knight,anne-marie newland,Sin dato,Sin dato,2014,ALL,18 min,fitness,amazon,18,min,3.5664414414414414
